#NodeIndex NodeName R G B A
1001 lh_bankssts 25 100 40 0
1002 lh_caudalanteriorcingulate 125 100 160 0
1003 lh_caudalmiddlefrontal 100 25 0 0
1005 lh_cuneus 220 20 100 0
1006 lh_entorhinal 220 20 10 0
1007 lh_fusiform 180 220 140 0
1008 lh_inferiorparietal 220 60 220 0
1009 lh_inferiortemporal 180 40 120 0
1010 lh_isthmuscingulate 140 20 140 0
1011 lh_lateraloccipital 20 30 140 0
1012 lh_lateralorbitofrontal 35 75 50 0
1013 lh_lingual 225 140 140 0
1014 lh_medialorbitofrontal 200 35 75 0
1015 lh_middletemporal 160 100 50 0
1016 lh_parahippocampal 20 220 60 0
1017 lh_paracentral 60 220 60 0
1018 lh_parsopercularis 220 180 140 0
1019 lh_parsorbitalis 20 100 50 0
1020 lh_parstriangularis 220 60 20 0
1021 lh_pericalcarine 120 100 60 0
1022 lh_postcentral 220 20 20 0
1023 lh_posteriorcingulate 220 180 220 0
1024 lh_precentral 60 20 220 0
1025 lh_precuneus 160 140 180 0
1026 lh_rostralanteriorcingulate 80 20 140 0
1027 lh_rostralmiddlefrontal 75 50 125 0
1028 lh_superiorfrontal 20 220 160 0
1029 lh_superiorparietal 20 180 140 0
1030 lh_superiortemporal 140 220 220 0
1031 lh_supramarginal 80 160 20 0
1032 lh_frontalpole 100 0 100 0
1033 lh_temporalpole 70 20 170 0
1034 lh_transversetemporal 150 150 200 0
1035 lh_insula 255 192 32 0
2001 rh_bankssts 25 100 40 0
2002 rh_caudalanteriorcingulate 125 100 160 0
2003 rh_caudalmiddlefrontal 100 25 0 0
2005 rh_cuneus 220 20 100 0
2006 rh_entorhinal 220 20 10 0
2007 rh_fusiform 180 220 140 0
2008 rh_inferiorparietal 220 60 220 0
2009 rh_inferiortemporal 180 40 120 0
2010 rh_isthmuscingulate 140 20 140 0
2011 rh_lateraloccipital 20 30 140 0
2012 rh_lateralorbitofrontal 35 75 50 0
2013 rh_lingual 225 140 140 0
2014 rh_medialorbitofrontal 200 35 75 0
2015 rh_middletemporal 160 100 50 0
2016 rh_parahippocampal 20 220 60 0
2017 rh_paracentral 60 220 60 0
2018 rh_parsopercularis 220 180 140 0
2019 rh_parsorbitalis 20 100 50 0
2020 rh_parstriangularis 220 60 20 0
2021 rh_pericalcarine 120 100 60 0
2022 rh_postcentral 220 20 20 0
2023 rh_posteriorcingulate 220 180 220 0
2024 rh_precentral 60 20 220 0
2025 rh_precuneus 160 140 180 0
2026 rh_rostralanteriorcingulate 80 20 140 0
2027 rh_rostralmiddlefrontal 75 50 125 0
2028 rh_superiorfrontal 20 220 160 0
2029 rh_superiorparietal 20 180 140 0
2030 rh_superiortemporal 140 220 220 0
2031 rh_supramarginal 80 160 20 0
2032 rh_frontalpole 100 0 100 0
2033 rh_temporalpole 70 20 170 0
2034 rh_transversetemporal 150 150 200 0
2035 rh_insula 255 192 32 0
