NodeID,NodeName,ModuleName
N01,lh_bankssts,Temporal
N02,lh_caudalanteriorcingulate,Cingulate
N03,lh_caudalmiddlefrontal,Frontal
N04,lh_cuneus,Occipital
N05,lh_entorhinal,Temporal
N06,lh_fusiform,Temporal
N07,lh_inferiorparietal,Parietal
N08,lh_inferiortemporal,Temporal
N09,lh_isthmuscingulate,Cingulate
N10,lh_lateraloccipital,Occipital
N11,lh_lateralorbitofrontal,Frontal
N12,lh_lingual,Occipital
N13,lh_medialorbitofrontal,Frontal
N14,lh_middletemporal,Temporal
N15,lh_parahippocampal,Temporal
N16,lh_paracentral,Frontal
N17,lh_parsopercularis,Frontal
N18,lh_parsorbitalis,Frontal
N19,lh_parstriangularis,Frontal
N20,lh_pericalcarine,Occipital
N21,lh_postcentral,Parietal
N22,lh_posteriorcingulate,Cingulate
N23,lh_precentral,Frontal
N24,lh_precuneus,Parietal
N25,lh_rostralanteriorcingulate,Cingulate
N26,lh_rostralmiddlefrontal,Frontal
N27,lh_superiorfrontal,Frontal
N28,lh_superiorparietal,Parietal
N29,lh_superiortemporal,Temporal
N30,lh_supramarginal,Parietal
N31,lh_frontalpole,Frontal
N32,lh_temporalpole,Temporal
N33,lh_transversetemporal,Temporal
N34,lh_insula,Insular
N35,rh_bankssts,Temporal
N36,rh_caudalanteriorcingulate,Cingulate
N37,rh_caudalmiddlefrontal,Frontal
N38,rh_cuneus,Occipital
N39,rh_entorhinal,Temporal
N40,rh_fusiform,Temporal
N41,rh_inferiorparietal,Parietal
N42,rh_inferiortemporal,Temporal
N43,rh_isthmuscingulate,Cingulate
N44,rh_lateraloccipital,Occipital
N45,rh_lateralorbitofrontal,Frontal
N46,rh_lingual,Occipital
N47,rh_medialorbitofrontal,Frontal
N48,rh_middletemporal,Temporal
N49,rh_parahippocampal,Temporal
N50,rh_paracentral,Frontal
N51,rh_parsopercularis,Frontal
N52,rh_parsorbitalis,Frontal
N53,rh_parstriangularis,Frontal
N54,rh_pericalcarine,Occipital
N55,rh_postcentral,Parietal
N56,rh_posteriorcingulate,Cingulate
N57,rh_precentral,Frontal
N58,rh_precuneus,Parietal
N59,rh_rostralanteriorcingulate,Cingulate
N60,rh_rostralmiddlefrontal,Frontal
N61,rh_superiorfrontal,Frontal
N62,rh_superiorparietal,Parietal
N63,rh_superiortemporal,Temporal
N64,rh_supramarginal,Parietal
N65,rh_frontalpole,Frontal
N66,rh_temporalpole,Temporal
N67,rh_transversetemporal,Temporal
N68,rh_insula,Insular
